This file was produced with R
sep=;
fruit,letter,hrs,min,dates,missing_numbers,missing_NULL,missing_dates
grape,r,1140,35,2024-08-12T12:35:00Z,NA,(null),Unknown
grapefruit,d,319,0,2024-07-09T07:00:00Z,NA,(null),2024-07-09 07:00:00
guava,v,949,32,2024-08-04T13:32:00Z,206,265,2024-08-04 13:32:00
honeydew,m,444,57,2024-07-14T12:57:00Z,NA,(null),2024-07-14 12:57:00
huckleberry,t,250,55,2024-07-06T10:55:00Z,563,444,Unknown
jackfruit,m,1245,11,2024-08-16T21:11:00Z,NA,1079,2024-08-16 21:11:00
jambul,x,252,25,2024-07-06T12:25:00Z,NA,(null),2024-07-06 12:25:00
jujube,g,1034,35,2024-08-08T02:35:00Z,NA,(null),2024-08-08 02:35:00
kiwi fruit,v,522,30,2024-07-17T18:30:00Z,NA,(null),Unknown
kumquat,p,657,47,2024-07-23T09:47:00Z,1103,(null),2024-07-23 09:47:00
lemon,x,922,22,2024-08-03T10:22:00Z,NA,129,Unknown
lime,x,1147,24,2024-08-12T19:24:00Z,NA,1094,2024-08-12 19:24:00
loquat,e,1079,58,2024-08-09T23:58:00Z,450,(null),2024-08-09 23:58:00
lychee,t,391,22,2024-07-12T07:22:00Z,1146,(null),Unknown
mandarine,t,265,59,2024-07-07T01:59:00Z,847,(null),2024-07-07 01:59:00
mango,i,834,36,2024-07-30T18:36:00Z,1034,(null),Unknown
mulberry,o,1065,37,2024-08-09T09:37:00Z,265,(null),Unknown
nectarine,i,885,4,2024-08-01T21:04:00Z,589,(null),Unknown
nut,i,509,45,2024-07-17T05:45:00Z,NA,(null),Unknown
olive,p,1412,41,2024-08-23T20:41:00Z,NA,589,2024-08-23 20:41:00
orange,m,289,45,2024-07-08T01:45:00Z,949,(null),2024-07-08 01:45:00
pamelo,r,918,33,2024-08-03T06:33:00Z,223,909,2024-08-03 06:33:00
papaya,s,485,54,2024-07-16T05:54:00Z,NA,(null),2024-07-16 05:54:00
passionfruit,m,1146,15,2024-08-12T18:15:00Z,NA,1146,Unknown
peach,u,242,42,2024-07-06T02:42:00Z,948,482,2024-07-06 02:42:00
pear,k,1037,39,2024-08-08T05:39:00Z,NA,(null),2024-08-08 05:39:00
persimmon,l,206,38,2024-07-04T14:38:00Z,NA,(null),Unknown
physalis,a,223,28,2024-07-05T07:28:00Z,NA,(null),Unknown
pineapple,r,1257,39,2024-08-17T09:39:00Z,256,(null),2024-08-17 09:39:00
plum,t,713,0,2024-07-25T17:00:00Z,337,1034,2024-07-25 17:00:00
pomegranate,z,46,22,2024-06-27T22:22:00Z,663,(null),Unknown
pomelo,n,834,0,2024-07-30T18:00:00Z,522,885,Unknown
purple mangosteen,r,751,34,2024-07-27T07:34:00Z,909,(null),Unknown
quince,y,948,18,2024-08-04T12:18:00Z,NA,(null),2024-08-04 12:18:00
raisin,l,1103,18,2024-08-10T23:18:00Z,1237,(null),Unknown
rambutan,q,847,24,2024-07-31T07:24:00Z,250,847,2024-07-31 07:24:00
raspberry,w,399,3,2024-07-12T15:03:00Z,NA,(null),2024-07-12 15:03:00
redcurrant,l,283,11,2024-07-07T19:11:00Z,NA,(null),2024-07-07 19:11:00
rock melon,u,46,22,2024-06-27T22:22:00Z,1028,(null),Unknown
salal berry,h,1094,21,2024-08-10T14:21:00Z,1011,770,Unknown
satsuma,r,733,17,2024-07-26T13:17:00Z,NA,(null),Unknown
star fruit,k,993,10,2024-08-06T09:10:00Z,148,509,Unknown
strawberry,x,749,47,2024-07-27T05:47:00Z,NA,(null),Unknown
tamarillo,c,568,12,2024-07-19T16:12:00Z,342,(null),Unknown
tangerine,s,909,22,2024-08-02T21:22:00Z,NA,922,2024-08-02 21:22:00
ugli fruit,z,1019,55,2024-08-07T11:55:00Z,1147,(null),2024-08-07 11:55:00
watermelon,y,568,0,2024-07-19T16:00:00Z,NA,(null),2024-07-19 16:00:00
